ID_cliente,Nombre,Apellido,Edad,Provincia,Ocupacion,Saldo_cuenta,Limite_credito,Tiene_tarjeta,Producto_principal,Fecha_alta,Nivel_satisfaccion
478,Luis,López,29,Salta,,231073.74,49787.85,True,Cuenta corriente,2016-03-16,
479,Carlos,García,60,Córdoba,Desempleado,-4592.82,178259.16,False,Plazo fijo,2015-05-06,3.0
480,Luis,Sánchez,78,Neuquén,,97305.4,144166.81,True,Tarjeta de crédito,2019-09-14,2.0
481,Lucía,Díaz,48,Neuquén,Desempleado,2644.23,161209.64,False,Caja de ahorro,2015-08-07,8.0
482,Marta,Fernández,44,Mendoza,Empresario,55292.93,146215.72,True,Plazo fijo,2017-08-05,10.0
483,Carlos,Martínez,49,Neuquén,Desempleado,3511.16,159380.09,False,Cuenta corriente,2015-10-05,9.0
484,Luis,Díaz,78,Salta,Empleado,107977.12,179484.77,False,Caja de ahorro,2016-08-17,10.0
485,Ana,López,27,Córdoba,Desempleado,139680.24,75719.13,True,Tarjeta de crédito,2017-07-23,9.0
486,Pedro,Fernández,20,Neuquén,Desempleado,120486.93,195640.81,False,Préstamo personal,2020-07-11,5.0
487,Juan,Pérez,62,Buenos Aires,Estudiante,53490.88,142714.3,False,Cuenta corriente,2015-05-21,9.0
488,Pedro,Rodríguez,44,Neuquén,Empleado,69530.26,,False,Cuenta corriente,2022-12-03,4.0
489,Lucía,Gómez,52,Santa Fe,Empleado,113613.63,131621.78,False,Cuenta corriente,2019-06-19,2.0
490,María,García,48,Santa Fe,Desempleado,55053.8,122736.09,True,Cuenta corriente,2017-05-26,3.0
491,Juan,García,32,Santa Fe,Estudiante,33560.24,144066.42,True,Caja de ahorro,2019-09-26,1.0
492,Diego,Gómez,33,Neuquén,Desempleado,88043.65,169999.48,False,Tarjeta de crédito,2015-04-20,5.0
493,Ana,Rodríguez,78,Salta,Desempleado,52764.59,,True,Plazo fijo,2017-12-11,1.0
494,Diego,Martínez,30,Córdoba,Empresario,120577.9,172900.53,True,Caja de ahorro,2022-04-14,
495,Carlos,Rodríguez,66,Tucumán,Empresario,164934.87,134514.96,True,Tarjeta de crédito,2022-07-23,7.0
496,Juan,Fernández,52,Tucumán,Estudiante,229879.17,151395.69,True,Plazo fijo,2020-06-16,2.0
497,Diego,Rodríguez,69,Tucumán,Jubilado,116903.35,239462.12,True,Cuenta corriente,2018-05-07,8.0
498,Diego,Fernández,28,Salta,Empresario,132298.61,164290.67,False,Tarjeta de crédito,2017-03-06,6.0
499,Luis,Rodríguez,76,Mendoza,Jubilado,70034.13,,True,Cuenta corriente,2020-07-22,4.0
500,Pedro,Martínez,38,Chubut,Empleado,73131.16,91097.2,False,Tarjeta de crédito,2016-12-29,9.0
501,Luis,Martínez,68,Buenos Aires,Empresario,164202.81,204171.5,True,Préstamo personal,2021-12-27,10.0
502,Juan,López,71,Buenos Aires,Empresario,86183.61,192658.6,False,Cuenta corriente,2019-03-18,8.0
503,Juan,Gómez,28,Santa Fe,Estudiante,103647.37,,False,Cuenta corriente,2017-11-06,10.0
504,Lucía,Martínez,47,Santa Fe,Jubilado,161148.78,191869.04,False,Cuenta corriente,2015-11-11,3.0
505,Luis,Fernández,77,Neuquén,Empresario,86568.64,163192.05,True,Caja de ahorro,2015-03-18,3.0
506,Sofía,Martínez,65,Tucumán,Empresario,175021.02,151856.64,True,Plazo fijo,2023-01-25,4.0
507,Pedro,López,70,Neuquén,Estudiante,128651.47,201638.23,False,Cuenta corriente,2019-06-29,
508,Juan,García,52,Chubut,Estudiante,122769.91,129508.06,False,Cuenta corriente,2016-12-12,9.0
509,Lucía,Fernández,39,Tucumán,Jubilado,,121105.8,True,Caja de ahorro,2019-03-18,5.0
510,Luis,López,55,Santa Fe,Empleado,125456.3,158302.53,True,Caja de ahorro,2020-02-11,9.0
511,Pedro,Sánchez,48,Córdoba,,78547.7,,False,Préstamo personal,2017-05-03,6.0
512,Luis,Sánchez,31,Mendoza,Desempleado,123470.44,188652.64,True,Tarjeta de crédito,2018-03-07,8.0
513,Diego,Pérez,41,Neuquén,Empresario,94908.75,143961.88,True,Cuenta corriente,2019-05-17,8.0
514,Lucía,Rodríguez,67,Mendoza,Jubilado,148340.48,116009.16,True,Tarjeta de crédito,2022-07-19,10.0
515,Pedro,Gómez,66,Mendoza,Empresario,98411.44,251142.71,True,Caja de ahorro,2020-03-27,7.0
516,Marta,Romero,49,Mendoza,Jubilado,201892.88,106536.22,True,Caja de ahorro,2015-09-22,4.0
517,Carlos,Díaz,53,Santa Fe,Jubilado,86222.65,152204.72,True,Préstamo personal,2015-11-29,4.0
518,Carlos,López,49,Buenos Aires,Jubilado,73271.26,181188.22,False,Plazo fijo,2021-02-13,6.0
519,Pedro,García,72,Santa Fe,Empresario,117305.69,196044.9,False,Caja de ahorro,2017-12-22,9.0
520,Luis,Díaz,32,Mendoza,,,,False,Cuenta corriente,2017-03-30,7.0
521,Lucía,García,60,Santa Fe,Empresario,153504.92,75003.29,False,Préstamo personal,2018-07-26,5.0
522,Carlos,Díaz,75,Mendoza,Jubilado,,126389.39,False,Plazo fijo,2019-04-15,5.0
523,Lucía,López,52,Salta,Desempleado,116954.46,184452.9,False,Préstamo personal,2018-04-09,
524,Carlos,Romero,20,Tucumán,Empleado,117026.9,175499.86,True,Caja de ahorro,2019-03-07,6.0
525,Diego,Díaz,33,Buenos Aires,Jubilado,46106.36,176804.89,True,Plazo fijo,2015-10-26,1.0
526,Luis,López,22,Salta,Desempleado,151203.67,178466.56,False,Tarjeta de crédito,2021-02-26,1.0
527,Diego,Martínez,38,Córdoba,,37107.18,203603.37,False,Plazo fijo,2018-03-04,9.0
528,Carlos,Romero,78,Santa Fe,Jubilado,46200.07,118964.46,False,Cuenta corriente,2015-09-29,8.0
529,Marta,Fernández,27,Córdoba,Desempleado,102751.35,102084.08,True,Tarjeta de crédito,2016-06-18,6.0
530,Marta,García,36,Neuquén,,84007.01,164819.21,True,Tarjeta de crédito,2020-09-09,
531,Diego,Sánchez,42,Santa Fe,Empresario,139807.87,,True,Cuenta corriente,2018-02-18,2.0
532,Marta,Rodríguez,21,Chubut,Desempleado,,99563.39,True,Tarjeta de crédito,2015-03-10,10.0
533,Carlos,Sánchez,78,Chubut,Empresario,106910.07,198958.4,False,Caja de ahorro,2023-01-09,3.0
534,Pedro,Romero,46,Tucumán,Empresario,,160014.39,False,Plazo fijo,2017-04-06,10.0
535,Diego,Fernández,36,Salta,Desempleado,101328.01,151139.73,False,Plazo fijo,2023-02-19,
536,María,García,60,Tucumán,Empleado,97374.43,151970.96,False,Cuenta corriente,2018-03-15,
537,Luis,Fernández,19,Neuquén,Desempleado,111109.34,145754.44,True,Caja de ahorro,2017-09-10,
538,Marta,Díaz,27,Mendoza,Empleado,78498.1,198689.63,True,Tarjeta de crédito,2016-04-25,6.0
539,Marta,García,78,Tucumán,Jubilado,126140.88,89415.36,False,Plazo fijo,2021-05-29,7.0
540,Juan,Díaz,60,Tucumán,Jubilado,82671.95,87759.06,True,Plazo fijo,2020-07-08,4.0
541,Sofía,López,42,Chubut,Desempleado,121455.67,112544.74,True,Plazo fijo,2018-12-23,1.0
542,Diego,Romero,37,Mendoza,Jubilado,139802.38,161566.47,True,Plazo fijo,2020-11-03,6.0
543,Ana,López,65,Chubut,Estudiante,73270.23,222213.75,True,Préstamo personal,2017-11-05,7.0
544,Marta,Pérez,36,Santa Fe,Empresario,61392.08,184763.36,False,Cuenta corriente,2022-08-07,4.0
545,Luis,Fernández,40,Mendoza,,123818.31,173697.71,True,Tarjeta de crédito,2016-09-19,6.0
546,María,Díaz,41,Salta,Empleado,33945.02,146805.32,False,Tarjeta de crédito,2015-04-28,9.0
547,Marta,Martínez,28,Tucumán,Jubilado,155583.24,96698.8,True,Cuenta corriente,2021-05-06,4.0
548,María,López,63,Chubut,Empleado,100548.13,170599.59,True,Caja de ahorro,2022-12-12,10.0
549,Carlos,Pérez,51,Mendoza,Empresario,94262.08,231038.68,False,Cuenta corriente,2015-06-11,4.0
550,Carlos,Gómez,72,Neuquén,Empresario,127300.8,140397.69,False,Plazo fijo,2022-07-10,10.0
551,Sofía,Sánchez,45,Neuquén,Jubilado,124197.73,127573.07,True,Plazo fijo,2019-08-04,5.0
552,Pedro,García,22,Tucumán,Estudiante,100325.9,140590.27,True,Cuenta corriente,2015-06-16,3.0
553,Ana,Pérez,76,Salta,Estudiante,143930.82,173990.05,False,Cuenta corriente,2015-10-27,
554,Juan,Romero,22,Córdoba,Jubilado,66380.58,,True,Tarjeta de crédito,2020-09-06,2.0
555,Sofía,López,68,Chubut,Jubilado,,186400.56,True,Tarjeta de crédito,2016-07-15,9.0
556,Lucía,Romero,38,Salta,Empleado,46068.83,148661.97,False,Préstamo personal,2023-01-09,1.0
557,Juan,Sánchez,29,Buenos Aires,Jubilado,125532.45,140359.53,True,Préstamo personal,2021-01-12,5.0
558,Diego,Martínez,67,Buenos Aires,Estudiante,83606.34,159160.24,True,Plazo fijo,2018-09-09,5.0
559,Luis,Fernández,21,Buenos Aires,Jubilado,34445.7,128413.91,True,Préstamo personal,2018-02-18,8.0
560,Lucía,Fernández,71,Tucumán,Empleado,112832.14,,True,Préstamo personal,2022-05-23,
561,Lucía,Romero,66,Neuquén,Empleado,98278.68,182924.58,True,Caja de ahorro,2019-04-01,6.0
562,Sofía,Díaz,59,Santa Fe,Empleado,22863.72,106012.06,False,Cuenta corriente,2022-11-08,6.0
563,Pedro,Martínez,37,Chubut,Empleado,-5683.28,120169.63,True,Tarjeta de crédito,2016-07-14,4.0
564,Sofía,Fernández,55,Neuquén,Desempleado,92386.81,172613.48,False,Préstamo personal,2018-04-02,
565,Diego,Martínez,42,Santa Fe,Jubilado,180911.3,157332.7,False,Tarjeta de crédito,2019-08-17,
566,Marta,Pérez,31,Santa Fe,Empresario,,162100.47,True,Préstamo personal,2015-11-08,10.0
567,Marta,Martínez,28,Neuquén,Jubilado,66584.84,142314.9,False,Préstamo personal,2021-08-20,
568,Pedro,Rodríguez,49,Chubut,Desempleado,154093.48,168206.92,True,Plazo fijo,2018-10-01,5.0
569,Diego,Sánchez,28,Tucumán,Empleado,145361.18,143255.77,False,Caja de ahorro,2021-01-06,10.0
570,Pedro,Fernández,78,Salta,Desempleado,163578.95,172535.18,False,Cuenta corriente,2020-03-26,1.0
571,María,Martínez,35,Santa Fe,Estudiante,134194.89,180921.13,False,Cuenta corriente,2022-03-17,5.0
572,Marta,Romero,44,Córdoba,Estudiante,144295.12,214269.61,True,Plazo fijo,2016-08-03,2.0
573,Lucía,Gómez,72,Neuquén,Jubilado,136555.43,129412.03,False,Plazo fijo,2017-09-03,1.0
574,Ana,Rodríguez,71,Neuquén,Jubilado,76124.75,149555.25,False,Cuenta corriente,2015-06-26,4.0
575,Luis,Rodríguez,35,Buenos Aires,Empresario,18135.96,101240.74,False,Cuenta corriente,2021-07-29,6.0
576,Diego,Díaz,73,Salta,Empresario,73943.23,223050.46,True,Caja de ahorro,2016-05-28,7.0
577,Juan,Martínez,40,Buenos Aires,Estudiante,155246.85,70980.48,True,Préstamo personal,2021-06-14,9.0
578,Pedro,Díaz,28,Neuquén,Empleado,80949.46,217314.78,False,Caja de ahorro,2015-04-29,5.0
579,Luis,Díaz,38,Neuquén,Desempleado,92727.05,153738.78,False,Cuenta corriente,2019-03-23,8.0
580,Juan,Gómez,61,Santa Fe,Empresario,41710.75,166737.12,False,Préstamo personal,2017-02-05,
581,Luis,Pérez,22,Salta,Empresario,72445.52,,False,Cuenta corriente,2017-08-30,
582,Ana,Martínez,40,Mendoza,Empleado,99545.54,151244.03,True,Caja de ahorro,2017-07-04,3.0
583,Juan,López,58,Córdoba,Empleado,124628.11,173523.38,True,Caja de ahorro,2021-11-30,3.0
584,Sofía,Fernández,76,Chubut,Jubilado,77066.95,,True,Caja de ahorro,2018-12-08,9.0
585,Carlos,Díaz,42,Santa Fe,Desempleado,73573.13,123914.95,False,Préstamo personal,2016-08-09,7.0
586,Sofía,Sánchez,58,Neuquén,Empleado,142108.78,116197.71,True,Tarjeta de crédito,2015-12-17,4.0
587,Marta,García,71,Chubut,Empresario,116263.33,167896.19,False,Tarjeta de crédito,2019-03-10,1.0
588,Carlos,Sánchez,27,Santa Fe,Empresario,122433.62,150174.65,False,Cuenta corriente,2021-02-20,7.0
589,Sofía,Gómez,39,Córdoba,Estudiante,176416.03,174723.83,False,Préstamo personal,2019-01-13,10.0
590,Carlos,Gómez,36,Neuquén,Empleado,74746.28,156591.0,True,Plazo fijo,2016-05-10,6.0
591,Carlos,Romero,18,Córdoba,,,192343.55,False,Tarjeta de crédito,2022-01-06,3.0
592,Lucía,Pérez,24,Chubut,Desempleado,127557.99,120389.03,True,Préstamo personal,2022-07-06,5.0
593,Pedro,Fernández,21,Mendoza,Jubilado,56424.63,152326.23,False,Préstamo personal,2020-02-14,3.0
594,Pedro,Díaz,18,Santa Fe,Empresario,111452.49,194374.54,True,Tarjeta de crédito,2015-09-30,8.0
595,Lucía,Sánchez,32,Tucumán,Jubilado,101109.82,186373.04,False,Préstamo personal,2023-01-06,
596,Luis,García,57,Santa Fe,Empresario,238864.97,90814.22,True,Préstamo personal,2020-09-30,10.0
597,María,Gómez,29,Buenos Aires,Empresario,104993.48,109155.57,False,Tarjeta de crédito,2015-09-20,10.0
598,Luis,Gómez,39,Salta,Empresario,157846.99,146728.36,True,Caja de ahorro,2020-12-20,6.0
599,Juan,Pérez,39,Salta,,141497.16,140606.53,False,Cuenta corriente,2021-06-15,2.0
600,Juan,García,67,Buenos Aires,Empresario,42171.92,147382.93,False,Plazo fijo,2019-05-16,8.0
601,Carlos,García,64,Neuquén,,22558.81,181847.61,False,Cuenta corriente,2020-08-25,9.0
602,Sofía,Pérez,34,Salta,,112350.73,161575.32,True,Caja de ahorro,2019-10-31,3.0
603,Sofía,Gómez,46,Córdoba,Estudiante,162866.73,163907.64,False,Caja de ahorro,2015-07-14,6.0
604,Pedro,Fernández,63,Chubut,Estudiante,114395.74,176824.54,False,Préstamo personal,2019-11-22,6.0
605,Diego,Martínez,31,Chubut,Empleado,103942.59,192966.97,False,Cuenta corriente,2019-01-06,2.0
606,Luis,Martínez,67,Salta,,,27759.51,True,Caja de ahorro,2021-06-08,10.0
607,Marta,Pérez,37,Salta,Empleado,33801.94,134534.94,False,Cuenta corriente,2017-12-07,
608,Ana,García,67,Buenos Aires,Desempleado,51973.96,114681.29,False,Caja de ahorro,2019-11-06,5.0
609,Sofía,Díaz,65,Neuquén,Empleado,18884.32,169012.65,True,Plazo fijo,2018-02-18,
610,Ana,Pérez,50,Mendoza,Jubilado,44847.67,131515.84,False,Caja de ahorro,2019-03-03,8.0
611,Carlos,Fernández,72,Salta,Estudiante,73699.59,153034.46,True,Cuenta corriente,2017-04-11,3.0
612,Ana,Pérez,76,Tucumán,Jubilado,138800.8,184085.72,False,Préstamo personal,2016-07-15,5.0
613,Marta,Rodríguez,60,Salta,Empleado,,,True,Cuenta corriente,2015-02-10,7.0
614,Lucía,Sánchez,32,Mendoza,Desempleado,112781.29,164512.63,True,Tarjeta de crédito,2019-01-19,5.0
615,Marta,García,29,Buenos Aires,Desempleado,106761.46,212153.11,True,Cuenta corriente,2022-01-25,
616,Ana,Romero,57,Mendoza,,124952.44,183264.62,False,Plazo fijo,2016-01-06,2.0
617,Marta,Romero,71,Buenos Aires,Jubilado,48259.25,86568.91,False,Plazo fijo,2018-04-20,8.0
618,María,García,37,Córdoba,Empresario,152959.69,138330.13,True,Plazo fijo,2022-01-08,5.0
619,Carlos,Fernández,47,Buenos Aires,Jubilado,29641.15,164232.65,False,Caja de ahorro,2016-10-18,6.0
620,Luis,Rodríguez,55,Córdoba,Empleado,77609.34,172111.35,False,Plazo fijo,2016-08-12,1.0
621,Lucía,Rodríguez,20,Córdoba,Empresario,98954.73,139906.04,True,Cuenta corriente,2015-08-19,10.0
622,Sofía,Gómez,45,Buenos Aires,Desempleado,138007.24,124408.44,True,Préstamo personal,2017-03-19,2.0
623,Juan,Sánchez,73,Tucumán,Estudiante,168965.47,152710.52,True,Plazo fijo,2018-10-03,4.0
624,Luis,Martínez,43,Santa Fe,Estudiante,138401.58,106524.61,True,Cuenta corriente,2016-04-23,9.0
625,Juan,López,47,Buenos Aires,Desempleado,170795.82,193989.37,False,Caja de ahorro,2018-05-17,6.0
626,Carlos,Fernández,30,Salta,Empleado,58541.2,224747.24,False,Caja de ahorro,2022-06-15,8.0
627,Lucía,López,30,Tucumán,Desempleado,159518.52,,False,Préstamo personal,2021-05-14,2.0
628,Pedro,López,19,Tucumán,Empleado,150932.84,140702.46,False,Préstamo personal,2019-11-08,10.0
629,Sofía,García,54,Salta,Empresario,-19813.75,187636.04,False,Cuenta corriente,2020-10-01,5.0
630,María,Romero,66,Santa Fe,Desempleado,88976.79,180877.17,False,Préstamo personal,2020-02-28,1.0
631,Pedro,Romero,55,Tucumán,Empleado,130101.87,138978.37,True,Préstamo personal,2017-10-30,4.0
632,Carlos,Martínez,19,Córdoba,Empresario,74229.31,148086.26,False,Caja de ahorro,2019-10-29,10.0
633,Luis,García,53,Chubut,,45708.74,125618.63,False,Cuenta corriente,2017-01-17,1.0
634,María,López,71,Santa Fe,Estudiante,205708.76,,False,Préstamo personal,2016-04-08,9.0
635,Marta,Díaz,43,Neuquén,Desempleado,105552.01,161956.37,True,Cuenta corriente,2017-01-23,2.0
636,Ana,Romero,28,Salta,,106920.27,118794.69,True,Plazo fijo,2020-01-15,
637,María,Fernández,25,Santa Fe,Desempleado,34550.29,107012.95,False,Caja de ahorro,2016-08-05,3.0
638,Carlos,Fernández,61,Buenos Aires,Jubilado,69381.95,96959.38,True,Caja de ahorro,2021-01-14,2.0
639,Diego,Gómez,57,Chubut,,55107.97,166661.39,True,Caja de ahorro,2015-01-19,4.0
640,Ana,Pérez,60,Santa Fe,Desempleado,153948.76,149540.7,False,Tarjeta de crédito,2015-02-24,7.0
641,Juan,Díaz,39,Córdoba,Empresario,125231.68,146657.03,False,Cuenta corriente,2019-10-17,7.0
642,Sofía,Romero,37,Chubut,Empresario,71471.82,168581.04,False,Plazo fijo,2016-12-21,9.0
643,Juan,Rodríguez,25,Buenos Aires,Empleado,128025.01,113961.52,True,Préstamo personal,2022-09-09,3.0
644,María,Romero,46,Mendoza,Empresario,87323.99,107189.89,True,Plazo fijo,2019-04-13,
645,Juan,Gómez,57,Salta,Empresario,111724.54,,False,Cuenta corriente,2022-10-26,6.0
646,Carlos,Fernández,43,Chubut,Desempleado,111488.19,80852.84,True,Caja de ahorro,2022-08-02,10.0
647,Marta,López,47,Salta,Desempleado,121013.36,139640.62,True,Tarjeta de crédito,2021-05-21,7.0
648,Luis,Rodríguez,34,Santa Fe,Estudiante,114982.6,248657.85,True,Cuenta corriente,2019-04-05,7.0
649,Sofía,García,37,Tucumán,,,96058.5,False,Cuenta corriente,2022-01-02,10.0
650,Juan,Sánchez,69,Buenos Aires,Empresario,162790.42,132810.31,False,Préstamo personal,2018-11-20,5.0
651,Juan,López,72,Mendoza,Empleado,132028.14,65084.29,False,Plazo fijo,2020-12-07,
652,María,Sánchez,33,Buenos Aires,Jubilado,83154.91,140650.88,False,Plazo fijo,2020-11-14,7.0
653,Luis,Díaz,63,Salta,Empresario,95102.36,228661.46,False,Préstamo personal,2020-12-07,7.0
654,Pedro,Pérez,79,Buenos Aires,Empleado,161508.53,168676.7,True,Tarjeta de crédito,2019-04-10,3.0
655,Juan,Rodríguez,60,Mendoza,Estudiante,105621.12,125448.83,True,Caja de ahorro,2018-03-22,
656,Carlos,Martínez,24,Tucumán,Estudiante,81299.08,237256.43,True,Caja de ahorro,2018-06-22,5.0
657,Diego,Rodríguez,33,Santa Fe,,68443.08,80305.9,True,Tarjeta de crédito,2019-12-01,8.0
658,Sofía,Romero,62,Córdoba,Jubilado,113651.91,168157.73,True,Préstamo personal,2021-09-06,5.0
659,Juan,Fernández,76,Buenos Aires,Estudiante,57257.16,152596.51,True,Cuenta corriente,2018-03-12,10.0
660,Carlos,Romero,64,Chubut,Estudiante,,140119.01,False,Plazo fijo,2022-10-12,3.0
661,Carlos,Romero,73,Córdoba,Jubilado,48109.08,182283.66,False,Cuenta corriente,2020-02-14,9.0
662,Sofía,Díaz,65,Salta,Empleado,173903.39,,True,Plazo fijo,2021-03-17,2.0
663,Pedro,López,44,Santa Fe,Estudiante,85738.48,162504.91,False,Cuenta corriente,2022-11-26,3.0
664,Carlos,Martínez,70,Neuquén,Desempleado,46163.13,157426.33,True,Préstamo personal,2015-06-09,4.0
665,Diego,Martínez,40,Santa Fe,Estudiante,109458.79,,True,Préstamo personal,2022-04-12,10.0
666,Carlos,Romero,41,Buenos Aires,,52348.04,227999.82,False,Tarjeta de crédito,2016-09-30,1.0
667,Carlos,Sánchez,26,Chubut,Empleado,101718.59,142726.51,False,Cuenta corriente,2017-11-21,4.0
668,Carlos,Díaz,52,Tucumán,Empresario,71122.82,144453.99,True,Cuenta corriente,2022-09-25,4.0
669,Marta,Romero,68,Santa Fe,Desempleado,147253.66,108892.91,False,Tarjeta de crédito,2015-11-30,9.0
670,Marta,Pérez,37,Buenos Aires,,106837.48,143466.38,True,Tarjeta de crédito,2017-06-10,8.0
671,Pedro,Fernández,54,Buenos Aires,,40574.96,243390.18,True,Préstamo personal,2023-03-07,
672,Juan,López,59,Córdoba,Desempleado,70148.17,139891.53,True,Préstamo personal,2020-07-09,7.0
673,Carlos,García,34,Santa Fe,Desempleado,135247.36,170748.08,True,Cuenta corriente,2015-12-18,6.0
674,Luis,Pérez,64,Buenos Aires,Jubilado,164354.61,188021.91,True,Préstamo personal,2018-09-24,7.0
675,Juan,Sánchez,48,Córdoba,Estudiante,97736.26,142743.91,False,Préstamo personal,2017-07-14,4.0
676,Pedro,Rodríguez,72,Chubut,Jubilado,47780.17,133616.39,True,Cuenta corriente,2018-11-24,5.0
677,Lucía,Rodríguez,74,Mendoza,Jubilado,152701.82,168890.56,False,Tarjeta de crédito,2021-09-09,6.0
678,Juan,Pérez,25,Chubut,Estudiante,135028.18,140349.67,True,Cuenta corriente,2022-01-21,9.0
679,Juan,Romero,32,Neuquén,,165326.98,136726.2,False,Caja de ahorro,2021-08-02,2.0
680,Ana,García,48,Córdoba,Estudiante,114510.46,187595.6,True,Cuenta corriente,2018-11-20,9.0
681,María,Gómez,70,Córdoba,Estudiante,73970.15,,False,Caja de ahorro,2022-11-15,
682,Ana,Gómez,47,Buenos Aires,Estudiante,125844.42,198529.59,True,Cuenta corriente,2015-03-01,1.0
683,Diego,Sánchez,63,Salta,Jubilado,116316.46,146322.93,True,Caja de ahorro,2021-11-29,4.0
684,Marta,Romero,37,Salta,Empresario,71256.32,97312.18,False,Caja de ahorro,2022-04-13,5.0
685,Marta,Martínez,77,Tucumán,Empresario,109931.93,12968.19,False,Cuenta corriente,2015-01-01,9.0
686,María,Martínez,56,Salta,Empleado,90248.71,76474.06,False,Préstamo personal,2019-04-28,6.0
687,Sofía,López,70,Córdoba,,137176.89,83361.58,False,Plazo fijo,2015-11-07,4.0
688,Sofía,García,72,Tucumán,Empresario,124600.35,160661.52,False,Préstamo personal,2021-01-24,2.0
689,Pedro,García,29,Chubut,Jubilado,47420.43,111146.69,False,Caja de ahorro,2021-02-17,5.0
690,María,Rodríguez,66,Buenos Aires,Estudiante,42378.87,71034.74,True,Cuenta corriente,2016-12-08,8.0
691,Juan,Díaz,34,Chubut,Estudiante,95509.44,,True,Cuenta corriente,2018-03-27,8.0
692,Sofía,Sánchez,59,Santa Fe,Jubilado,101640.96,106726.88,True,Cuenta corriente,2019-11-16,6.0
693,Carlos,Gómez,47,Neuquén,Empresario,138048.84,168523.97,False,Cuenta corriente,2019-03-04,1.0
694,Luis,Sánchez,46,Neuquén,Jubilado,125665.2,167530.75,False,Plazo fijo,2021-08-10,8.0
695,Juan,Martínez,36,Córdoba,,172934.28,171763.45,False,Tarjeta de crédito,2018-09-25,4.0
696,Diego,Martínez,63,Córdoba,,,47668.78,True,Caja de ahorro,2017-05-07,2.0
697,Carlos,Pérez,28,Tucumán,Desempleado,,151816.37,False,Plazo fijo,2021-07-02,1.0
698,Carlos,López,51,Buenos Aires,,52009.3,145143.9,True,Préstamo personal,2020-12-01,7.0
699,María,García,67,Mendoza,Empleado,137470.36,101134.23,False,Tarjeta de crédito,2022-10-15,2.0
700,Pedro,Fernández,24,Córdoba,,101087.61,64502.77,False,Tarjeta de crédito,2017-07-07,4.0
701,Diego,Sánchez,61,Mendoza,Empresario,7319.82,145652.6,False,Cuenta corriente,2016-08-31,
702,Sofía,Martínez,75,Chubut,Estudiante,110108.27,192564.64,True,Plazo fijo,2015-11-05,10.0
703,María,Díaz,51,Mendoza,Desempleado,113298.51,46729.7,False,Préstamo personal,2021-09-14,
704,Sofía,Rodríguez,76,Salta,Empleado,92782.65,116699.17,True,Cuenta corriente,2018-09-05,2.0
705,María,Gómez,37,Buenos Aires,Desempleado,114832.74,155261.4,False,Cuenta corriente,2015-07-31,1.0
706,María,López,67,Neuquén,Empresario,38988.22,,False,Caja de ahorro,2021-06-22,6.0
707,María,Díaz,55,Neuquén,Empresario,182051.59,137505.14,False,Tarjeta de crédito,2015-07-04,3.0
708,Pedro,López,41,Mendoza,Desempleado,119012.97,227240.12,False,Préstamo personal,2018-05-13,1.0
709,María,Pérez,27,Neuquén,,11315.06,,True,Tarjeta de crédito,2018-10-19,8.0
710,Lucía,Fernández,49,Chubut,Empresario,99705.15,69322.48,False,Plazo fijo,2018-05-24,4.0
711,Luis,Martínez,69,Buenos Aires,,120336.01,,True,Caja de ahorro,2015-09-03,10.0
712,Sofía,Rodríguez,32,Salta,,44353.4,56015.03,False,Cuenta corriente,2015-08-27,7.0
713,Juan,Díaz,54,Buenos Aires,Desempleado,126681.51,168461.29,False,Caja de ahorro,2020-01-03,10.0
714,Ana,López,37,Córdoba,Desempleado,184046.28,138218.7,False,Cuenta corriente,2018-11-15,2.0
715,Diego,García,20,Mendoza,Jubilado,67781.55,113959.98,True,Caja de ahorro,2016-06-03,6.0
716,Marta,Pérez,54,Buenos Aires,Empresario,121421.93,132933.31,False,Cuenta corriente,2019-06-02,6.0
717,Pedro,García,79,Chubut,Estudiante,110429.93,98437.12,True,Tarjeta de crédito,2015-10-04,7.0
718,Juan,Rodríguez,74,Neuquén,Estudiante,148414.5,137266.64,True,Tarjeta de crédito,2017-10-02,1.0
719,Carlos,Díaz,57,Santa Fe,Jubilado,94557.9,150696.77,False,Tarjeta de crédito,2021-02-27,
720,Lucía,Pérez,25,Buenos Aires,Estudiante,46664.17,133351.12,True,Tarjeta de crédito,2015-08-02,2.0
721,Marta,Díaz,57,Mendoza,Desempleado,145209.11,126602.55,False,Caja de ahorro,2016-08-28,2.0
722,Ana,Martínez,61,Salta,Jubilado,49636.97,160165.48,True,Cuenta corriente,2016-04-22,5.0
723,Juan,Romero,73,Neuquén,,190443.07,216382.87,True,Tarjeta de crédito,2016-05-22,1.0
724,Marta,Pérez,40,Salta,Empresario,128038.47,139351.86,True,Caja de ahorro,2018-01-03,2.0
725,Juan,García,57,Mendoza,Empresario,70055.36,182799.62,True,Cuenta corriente,2022-06-09,6.0
726,Lucía,Rodríguez,28,Neuquén,Empresario,,111352.92,False,Caja de ahorro,2022-06-05,3.0
727,Ana,Fernández,63,Córdoba,Desempleado,99540.55,96636.75,True,Tarjeta de crédito,2020-05-31,4.0
728,Carlos,Martínez,25,Neuquén,,88929.72,168132.62,False,Plazo fijo,2015-05-22,1.0
729,María,Romero,46,Córdoba,Jubilado,65956.53,140658.62,True,Caja de ahorro,2021-06-27,5.0
730,Sofía,Fernández,47,Salta,Jubilado,6091.05,195179.89,False,Tarjeta de crédito,2019-09-14,4.0
